[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5068.65it/s]
logs/laplacian-no-attn-gate-stop328-1450-20260525_234745.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 456, 457, 458, 459, 915, 916, 917, 918, 1373, 1374, 1375, 1376] for warmup
Resetting Model
Capping training loop at 1450 optimizer steps
step:354/1450 train_time:83073ms step_avg:234.67ms
step:355/1450 train_time:83311ms step_avg:234.68ms
step:356/1450 train_time:83544ms step_avg:234.68ms
step:357/1450 train_time:83780ms step_avg:234.68ms
step:358/1450 train_time:84016ms step_avg:234.68ms
step:359/1450 train_time:84251ms step_avg:234.68ms
step:360/1450 train_time:84485ms step_avg:234.68ms
step:361/1450 train_time:84721ms step_avg:234.68ms
step:362/1450 train_time:84955ms step_avg:234.68ms
step:363/1450 train_time:85192ms step_avg:234.69ms
step:364/1450 train_time:85426ms step_avg:234.69ms
step:365/1450 train_time:85664ms step_avg:234.70ms
step:366/1450 train_time:85898ms step_avg:234.69ms
step:367/1450 train_time:86133ms step_avg:234.70ms
step:368/1450 train_time:86368ms step_avg:234.70ms
step:369/1450 train_time:86605ms step_avg:234.70ms
step:370/1450 train_time:86840ms step_avg:234.70ms
step:371/1450 train_time:87075ms step_avg:234.70ms
step:372/1450 train_time:87310ms step_avg:234.71ms
step:373/1450 train_time:87546ms step_avg:234.71ms
step:374/1450 train_time:87783ms step_avg:234.71ms
step:375/1450 train_time:88017ms step_avg:234.71ms
step:376/1450 train_time:88252ms step_avg:234.71ms
step:377/1450 train_time:88487ms step_avg:234.71ms
step:378/1450 train_time:88722ms step_avg:234.71ms
step:379/1450 train_time:88959ms step_avg:234.72ms
step:380/1450 train_time:89193ms step_avg:234.72ms
step:381/1450 train_time:89429ms step_avg:234.72ms
step:382/1450 train_time:89664ms step_avg:234.72ms
step:383/1450 train_time:89900ms step_avg:234.73ms
step:384/1450 train_time:90134ms step_avg:234.72ms
step:385/1450 train_time:90370ms step_avg:234.73ms
step:386/1450 train_time:90605ms step_avg:234.73ms
step:387/1450 train_time:90841ms step_avg:234.73ms
step:388/1450 train_time:91077ms step_avg:234.73ms
step:389/1450 train_time:91313ms step_avg:234.74ms
step:390/1450 train_time:91549ms step_avg:234.74ms
step:391/1450 train_time:91784ms step_avg:234.74ms
step:392/1450 train_time:92020ms step_avg:234.74ms
step:393/1450 train_time:92256ms step_avg:234.75ms
step:394/1450 train_time:92491ms step_avg:234.75ms
step:395/1450 train_time:92726ms step_avg:234.75ms
step:396/1450 train_time:92962ms step_avg:234.75ms
step:397/1450 train_time:93199ms step_avg:234.76ms
step:398/1450 train_time:93433ms step_avg:234.76ms
step:399/1450 train_time:93670ms step_avg:234.76ms
step:400/1450 train_time:93905ms step_avg:234.76ms
step:401/1450 train_time:94141ms step_avg:234.77ms
step:402/1450 train_time:94376ms step_avg:234.77ms
step:403/1450 train_time:94612ms step_avg:234.77ms
step:404/1450 train_time:94847ms step_avg:234.77ms
step:405/1450 train_time:95083ms step_avg:234.77ms
step:406/1450 train_time:95318ms step_avg:234.77ms
step:407/1450 train_time:95554ms step_avg:234.78ms
step:408/1450 train_time:95789ms step_avg:234.78ms
step:409/1450 train_time:96025ms step_avg:234.78ms
step:410/1450 train_time:96261ms step_avg:234.78ms
step:411/1450 train_time:96497ms step_avg:234.79ms
step:412/1450 train_time:96732ms step_avg:234.79ms
step:413/1450 train_time:96968ms step_avg:234.79ms
step:414/1450 train_time:97202ms step_avg:234.79ms
step:415/1450 train_time:97438ms step_avg:234.79ms
step:416/1450 train_time:97673ms step_avg:234.79ms
step:417/1450 train_time:97909ms step_avg:234.79ms
step:418/1450 train_time:98144ms step_avg:234.79ms
step:419/1450 train_time:98379ms step_avg:234.80ms
step:420/1450 train_time:98614ms step_avg:234.79ms
step:421/1450 train_time:98850ms step_avg:234.80ms
step:422/1450 train_time:99084ms step_avg:234.80ms
step:423/1450 train_time:99321ms step_avg:234.80ms
step:424/1450 train_time:99555ms step_avg:234.80ms
step:425/1450 train_time:99791ms step_avg:234.80ms
step:426/1450 train_time:100025ms step_avg:234.80ms
step:427/1450 train_time:100262ms step_avg:234.80ms
step:428/1450 train_time:100497ms step_avg:234.81ms
step:429/1450 train_time:100733ms step_avg:234.81ms
step:430/1450 train_time:100968ms step_avg:234.81ms
step:431/1450 train_time:101204ms step_avg:234.81ms
step:432/1450 train_time:101440ms step_avg:234.81ms
step:433/1450 train_time:101676ms step_avg:234.82ms
step:434/1450 train_time:101911ms step_avg:234.82ms
step:435/1450 train_time:102147ms step_avg:234.82ms
step:436/1450 train_time:102382ms step_avg:234.82ms
step:437/1450 train_time:102618ms step_avg:234.82ms
step:438/1450 train_time:102853ms step_avg:234.82ms
step:439/1450 train_time:103090ms step_avg:234.83ms
step:440/1450 train_time:103324ms step_avg:234.83ms
step:441/1450 train_time:103561ms step_avg:234.83ms
step:442/1450 train_time:103795ms step_avg:234.83ms
step:443/1450 train_time:104032ms step_avg:234.84ms
step:444/1450 train_time:104267ms step_avg:234.84ms
