[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 3747.42it/s]
/root/modded-nanogpt/results/codex_xsa_no_gate_target328_20260526T015307Z/logs/codex-xsa-no-gate-target328.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 456, 457, 458, 459, 915, 916, 917, 918, 1373, 1374, 1375, 1376] for warmup
Resetting Model
Capping training loop at 2500 optimizer steps
step:327/2500 train_time:77970ms step_avg:238.44ms
step:328/2500 train_time:78208ms step_avg:238.44ms
step:329/2500 train_time:78448ms step_avg:238.44ms
step:330/2500 train_time:78686ms step_avg:238.44ms
step:331/2500 train_time:78924ms step_avg:238.44ms
step:332/2500 train_time:79162ms step_avg:238.44ms
step:333/2500 train_time:79402ms step_avg:238.44ms
step:334/2500 train_time:79640ms step_avg:238.44ms
step:335/2500 train_time:79881ms step_avg:238.45ms
step:336/2500 train_time:80120ms step_avg:238.45ms
step:337/2500 train_time:80359ms step_avg:238.45ms
step:338/2500 train_time:80598ms step_avg:238.45ms
step:339/2500 train_time:80838ms step_avg:238.46ms
step:340/2500 train_time:81077ms step_avg:238.46ms
step:341/2500 train_time:81316ms step_avg:238.46ms
step:342/2500 train_time:81553ms step_avg:238.46ms
step:343/2500 train_time:81793ms step_avg:238.46ms
step:344/2500 train_time:82032ms step_avg:238.46ms
step:345/2500 train_time:82272ms step_avg:238.47ms
step:346/2500 train_time:82511ms step_avg:238.47ms
step:347/2500 train_time:82752ms step_avg:238.48ms
step:348/2500 train_time:82992ms step_avg:238.48ms
step:349/2500 train_time:83231ms step_avg:238.48ms
step:350/2500 train_time:83470ms step_avg:238.49ms
step:351/2500 train_time:83711ms step_avg:238.49ms
step:352/2500 train_time:83950ms step_avg:238.50ms
step:353/2500 train_time:84190ms step_avg:238.50ms
step:354/2500 train_time:84429ms step_avg:238.50ms
step:355/2500 train_time:84668ms step_avg:238.50ms
step:356/2500 train_time:84906ms step_avg:238.50ms
step:357/2500 train_time:85146ms step_avg:238.50ms
step:358/2500 train_time:85383ms step_avg:238.50ms
step:359/2500 train_time:85622ms step_avg:238.50ms
step:360/2500 train_time:85862ms step_avg:238.51ms
step:361/2500 train_time:86101ms step_avg:238.51ms
step:362/2500 train_time:86340ms step_avg:238.51ms
step:363/2500 train_time:86579ms step_avg:238.51ms
step:364/2500 train_time:86819ms step_avg:238.51ms
step:365/2500 train_time:87058ms step_avg:238.52ms
step:366/2500 train_time:87298ms step_avg:238.52ms
step:367/2500 train_time:87538ms step_avg:238.52ms
step:368/2500 train_time:87775ms step_avg:238.52ms
step:369/2500 train_time:88016ms step_avg:238.52ms
step:370/2500 train_time:88254ms step_avg:238.52ms
step:371/2500 train_time:88494ms step_avg:238.53ms
step:372/2500 train_time:88733ms step_avg:238.53ms
step:373/2500 train_time:88972ms step_avg:238.53ms
step:374/2500 train_time:89211ms step_avg:238.53ms
step:375/2500 train_time:89452ms step_avg:238.54ms
step:376/2500 train_time:89690ms step_avg:238.54ms
step:377/2500 train_time:89930ms step_avg:238.54ms
step:378/2500 train_time:90169ms step_avg:238.54ms
step:379/2500 train_time:90410ms step_avg:238.55ms
step:380/2500 train_time:90649ms step_avg:238.55ms
step:381/2500 train_time:90889ms step_avg:238.55ms
step:382/2500 train_time:91128ms step_avg:238.55ms
step:383/2500 train_time:91367ms step_avg:238.56ms
step:384/2500 train_time:91605ms step_avg:238.55ms
step:385/2500 train_time:91845ms step_avg:238.56ms
step:386/2500 train_time:92082ms step_avg:238.55ms
step:387/2500 train_time:92322ms step_avg:238.56ms
